upper_z,lower_z,posture_class
4.81,0.64,straight
4.73,0.64,straight
4.79,0.56,straight
4.80,0.66,straight
4.86,0.61,straight
4.84,0.61,straight
4.77,0.65,straight
4.74,0.58,straight
4.73,0.64,straight
4.70,0.61,straight
4.72,0.64,straight
4.75,0.60,straight
4.82,0.64,straight
4.85,0.61,straight
4.83,0.66,straight
4.76,0.62,straight
4.74,0.60,straight
4.76,0.58,straight
4.73,0.67,straight
4.76,0.61,straight
4.75,0.61,straight
4.79,0.61,straight
4.82,0.58,straight
4.76,0.59,straight
4.66,0.63,straight
4.66,0.61,straight
4.64,0.59,straight
4.68,0.61,straight
4.75,0.59,straight
4.77,0.62,straight
4.91,0.55,straight
4.84,0.59,straight
4.77,0.61,straight
4.77,0.59,straight
4.75,0.58,straight
4.75,0.57,straight
4.73,0.62,straight
4.71,0.59,straight
4.81,0.58,straight
4.69,0.56,straight
4.78,0.56,straight
4.77,0.66,straight
4.99,0.46,straight
4.88,0.59,straight
4.65,0.61,straight
4.75,0.53,straight
4.69,0.64,straight
4.69,0.54,straight
4.77,0.59,straight
4.86,0.56,straight
4.83,0.56,straight
4.79,0.57,straight
4.73,0.55,straight
4.71,0.55,straight
4.81,0.57,straight
4.73,0.52,straight
4.71,0.58,straight
4.72,0.56,straight
4.70,0.55,straight
4.69,0.53,straight
4.70,0.53,straight
4.78,0.55,straight
4.67,0.54,straight
4.82,0.46,straight
4.73,0.51,straight
4.63,0.55,straight
4.54,0.46,straight
4.53,0.49,straight
4.41,0.46,straight
4.40,0.40,straight
4.35,0.37,straight
4.33,0.37,straight
4.33,0.42,straight
4.37,0.39,straight
4.36,0.36,straight
4.37,0.37,straight
4.34,0.40,straight
4.33,0.35,straight
4.36,0.38,straight
4.33,0.33,straight
4.44,0.35,straight
4.27,0.39,straight
4.26,0.31,straight
4.26,0.37,straight
4.35,0.35,straight
4.43,0.33,straight
4.24,0.38,straight
4.20,0.31,straight
4.25,0.40,straight
4.20,0.36,straight
4.20,0.20,straight
4.23,0.23,straight
4.17,0.06,straight
4.21,0.17,straight
4.19,0.23,straight
4.02,0.28,straight
3.93,0.27,straight
3.74,0.11,straight
3.58,0.17,straight
3.47,0.26,straight
3.42,0.39,straight
3.35,0.32,straight
3.25,0.27,straight
2.96,0.26,straight
3.04,0.21,straight
2.83,0.23,straight
2.83,0.17,straight
2.81,0.17,straight
2.78,0.18,straight
2.95,0.16,straight
2.97,0.20,straight
2.91,0.18,straight
2.95,0.13,straight
3.01,0.16,straight
2.86,0.13,straight
2.79,0.13,straight
2.88,0.14,straight
2.84,0.07,straight
2.90,0.04,straight
2.92,0.03,straight
2.93,-0.01,straight
3.05,0.02,straight
3.04,-0.07,straight
3.09,-0.11,straight
3.09,-0.15,straight
3.15,-0.04,straight
3.15,-0.06,straight
3.15,-0.07,straight
3.09,-0.07,straight
3.07,-0.03,straight
3.10,-0.04,straight
3.13,-0.01,straight
3.12,-0.01,straight
3.14,0.01,straight
3.17,0.04,straight
3.28,-0.00,straight
3.22,0.01,straight
3.17,-0.02,straight
3.21,0.00,straight
3.21,-0.01,straight
3.25,0.03,straight
3.26,-0.00,straight
3.20,0.02,straight
3.18,-0.04,straight
3.20,0.02,straight
3.21,-0.01,straight
3.21,-0.05,straight
3.29,-0.04,straight
3.26,0.00,straight
3.22,-0.00,straight
3.13,-0.00,straight
3.22,-0.04,straight
3.20,0.03,straight
3.27,-0.01,straight
3.21,0.01,straight
3.22,-0.04,straight
3.21,0.03,straight
3.26,-0.06,straight
3.26,-0.02,straight
3.24,0.00,straight
3.24,0.00,straight
3.23,-0.02,straight
3.23,-0.01,straight
3.21,-0.04,straight
3.26,-0.00,straight
3.29,-0.03,straight
3.22,-0.02,straight
3.16,-0.05,straight
3.16,0.00,straight
3.17,-0.04,straight
3.17,-0.01,straight
3.12,0.03,straight
3.22,-0.04,straight
3.16,-0.01,straight
3.22,-0.02,straight
3.24,-0.02,straight
3.15,-0.09,straight
3.17,-0.03,straight
3.18,-0.06,straight
3.24,-0.06,straight
3.19,-0.03,straight
3.23,-0.07,straight
3.18,-0.08,straight
3.16,-0.08,straight
3.09,-0.03,straight
3.13,-0.04,straight
3.13,-0.08,straight
3.15,-0.04,straight
3.11,-0.06,straight
3.11,-0.05,straight
3.02,-0.09,straight
2.99,-0.06,straight
2.99,-0.04,straight
2.94,0.02,straight
3.44,0.06,straight
3.45,0.09,straight
3.45,0.08,straight
3.43,0.09,straight
3.43,0.05,straight
3.36,0.15,straight
3.40,0.06,straight
3.35,0.02,straight
3.36,0.09,straight
3.42,0.07,straight
3.44,0.05,straight
3.38,0.09,straight
3.41,0.05,straight
3.33,0.06,straight
3.31,0.08,straight
3.39,0.08,straight
3.42,0.05,straight
3.30,0.09,straight
3.37,0.11,straight
3.40,0.11,straight
3.35,0.04,straight
3.51,0.03,straight
3.49,0.12,straight
3.47,0.03,straight
3.38,0.09,straight
3.40,0.04,straight
3.38,0.08,straight
3.44,0.07,straight
3.39,0.03,straight
3.42,0.03,straight
3.43,0.07,straight
3.37,0.05,straight
3.42,0.05,straight
3.41,0.07,straight
3.53,0.08,straight
3.45,0.03,straight
3.48,0.03,straight
